Source,Type,section-nr,book-nr
,,85,2
,,86,2
prose.medicine,group,86,2
aristoteles,individual,86,2
,,87,2
,,88,2
poetry,group,88,2
poetry.tragedy,group,88,2
poetry,group,88,2
ion,individual,88,2
aristophanes_com,individual,88,2
poetry,group,88,2
homeros,individual,88,2
poetry.tragedy,group,88,2
,,89,2
homeros,individual,89,2
poetry.comedy.old,group,89,2
aristophanes_com,individual,89,2
,,90,2
eupolis,individual,90,2
poetry.comedy,group,90,2
,,91,2
,,92,2
,,93,2
aristoteles,individual,93,2
,,94,2
aristoteles,individual,94,2
,,95,2
isokrates,individual,95,2
aristoteles,individual,95,2
ion,individual,95,2
,,96,2
euboulos,individual,96,2
phrynichos,individual,96,2
pherekrates,individual,96,2
,,97,2
xenophon,individual,97,2
aristophanes_com,individual,97,2
poetry.comedy,group,97,2
poetry.comedy,group,97,2
,,98,2
homeros,individual,98,2
,,99,2
aristoteles,individual,99,2
,,100,2
sophokles,individual,100,2
homeros,individual,100,2
aristophanes_com,individual,100,2
aischylos,individual,100,2
kallias,individual,101,2
,,101,2
magnes,individual,101,2
sophokles,individual,101,2
pherekrates,individual,101,2
platon_phil,individual,101,2
,,102,2
poetry,group,102,2
herodotos,individual,102,2
kallias,individual,102,2
platon_phil,individual,102,2
platon_phil,individual,102,2
,,103,2
anakreon,individual,103,2
,,104,2
undefined,group,104,2
,,105,2
,,106,2
,,107,2
undefined,group,107,2
,,108,2
xenophon,individual,108,2
poetry.comedy,group,108,2
aristophanes_com,individual,108,2
,,109,2
sophokles,individual,109,2
antiphon_rhet,individual,109,2
euripides,individual,109,2
poetry.comedy,group,109,2
aischines_socr,individual,109,2
aristophanes_com,individual,109,2
herodotos,individual,109,2
,,110,2
myrtilos,individual,110,2
platon_phil,individual,110,2
,,111,2
philistos,individual,111,2
demosthenes,individual,111,2
aristophanes_com,individual,111,2
,,112,2
kallias,individual,112,2
alexis,individual,112,2
platon_phil,individual,112,2
,,113,2
,,114,2
platon_phil,individual,114,2
,,117,2
,,118,2
polyzelos,individual,118,2
platon_phil,individual,118,2
,,119,2
thoukydides,individual,119,2
antiphon_rhet,individual,119,2
isokrates,individual,119,2
hypereides,individual,119,2
demosthenes,individual,119,2
,,120,2
xenophon,individual,120,2
platon_phil,individual,120,2
thoukydides,individual,120,2
platon_phil,individual,120,2
platon_phil,individual,120,2
antiphon_rhet,individual,120,2
thoukydides,individual,120,2
antiphon_rhet,individual,120,2
herodotos,individual,120,2
herodotos,individual,120,2
eupolis,individual,120,2
hypereides,individual,120,2
,,121,2
platon_phil,individual,121,2
demosthenes,individual,121,2
platon_phil,individual,121,2
,,122,2
xenophon,individual,122,2
kritias,individual,122,2
herodotos,individual,122,2
phaidon,individual,122,2
theopompos_com,individual,122,2
demosthenes,individual,122,2
xenophon,individual,122,2
,,123,2
poetry.comedy,group,123,2
antiphon_rhet,individual,123,2
platon_phil,individual,123,2
,,124,2
hypereides,individual,124,2
isokrates,individual,124,2
platon_phil,individual,124,2
eupolis,individual,124,2
kratinos,individual,124,2
herodotos,individual,124,2
demosthenes,individual,124,2
hypereides,individual,124,2
,,125,2
aristophanes_com,individual,125,2
hermippos,individual,125,2
aristophanes_com,individual,125,2
aischylos,individual,125,2
,,126,2
aischines_rhet,individual,126,2
thoukydides,individual,126,2
xenophon,individual,126,2
,,127,2
pherekrates,individual,127,2
ekphantides,individual,127,2
isaios,individual,127,2
platon_phil,individual,127,2
,,128,2
demosthenes,individual,128,2
platon_phil,individual,128,2
nikophon,individual,128,2
,,129,2
demosthenes,individual,129,2
demosthenes,individual,129,2
platon_phil,individual,129,2
homeros,individual,129,2
prose.rhetoric,group,129,2
,,130,2
homeros,individual,130,2
pherekrates,individual,130,2
,,131,2
hippokrates,individual,131,2
,,132,2
,,133,2
undefined,group,133,2
undefined,group,133,2
,,134,2
,,135,2
aristophanes_com,individual,135,2
aristoteles,individual,135,2
,,136,2
poetry,group,136,2
,,137,2
,,138,2
,,139,2
idiotes,group,139,2
attic,group,139,2
,,140,2
hippokrates,individual,140,2
poetry.comedy,group,140,2
,,141,2
undefined,group,141,2
undefined,group,141,2
prose.medicine,group,141,2
hippokrates,individual,141,2
doric,group,141,2
doric.sicilian,group,141,2
,,142,2
epicharmos,individual,142,2
undefined,group,142,2
,,143,2
undefined,group,143,2
,,144,2
undefined,group,144,2
hippokrates,individual,144,2
homeros,individual,144,2
aristoteles,individual,144,2
,,145,2
,,146,2
klearchos,individual,146,2
,,147,2
,,148,2
kritias,individual,148,2
,,149,2
platon_phil,individual,149,2
menandros,individual,149,2
alexis,individual,149,2
thoukydides,individual,149,2
homeros,individual,149,2
philonides,individual,149,2
,,150,2
aristophanes_com,individual,150,2
xenophon,individual,150,2
,,151,2
undefined,group,151,2
xenophon,individual,151,2
demosthenes,individual,151,2
sophokles,individual,151,2
herodotos,individual,151,2
demosthenes,individual,151,2
,,152,2
hypereides,individual,152,2
herodotos,individual,152,2
hipponax,individual,152,2
,,153,2
herodotos,individual,153,2
kratinos,individual,153,2
,,154,2
philistos,individual,154,2
sophokles,individual,154,2
demosthenes,individual,154,2
herodotos,individual,154,2
aristophanes_com,individual,154,2
thoukydides,individual,154,2
xenophon,individual,154,2
demosthenes,individual,154,2
xenophon,individual,154,2
aischylos,individual,154,2
,,155,2
platon_phil,individual,155,2
poetry,group,155,2
aristoteles,individual,155,2
platon_phil,individual,155,2
demosthenes,individual,155,2
,,156,2
xenophon,individual,156,2
undefined,group,156,2
undefined,group,156,2
,,157,2
,,158,2
,,159,2
platon_phil,individual,159,2
lysias,individual,159,2
eupolis,individual,159,2
,,160,2
xenophon,individual,160,2
xenophon,individual,160,2
aristophanes_com,individual,160,2
idiotes,group,160,2
attic,group,160,2
,,161,2
euripides,individual,161,2
thoukydides,individual,161,2
,,162,2
sophokles,individual,162,2
,,163,2
,,164,2
klearchos,individual,164,2
aristoteles,individual,164,2
undefined,group,164,2
,,165,2
,,166,2
anaxandrides,individual,166,2
latin,group,166,2
,,167,2
,,168,2
poetry.comedy,group,168,2
homeros,individual,168,2
poetry.comedy,group,168,2
herodotos,individual,168,2
,,169,2
hoi-nyn,group,169,2
,,170,2
attic,group,170,2
poetry.comedy,group,170,2
prose.medicine,group,170,2
,,171,2
prose.medicine,group,171,2
,,172,2
attic,group,172,2
poetry,group,172,2
sophokles,individual,172,2
,,173,2
strattis,individual,173,2
homeros,individual,173,2
poetry.tragedy,group,173,2
,,174,2
,,175,2
aristophanes_com,individual,175,2
platon_com,individual,175,2
alkaios_lyr,individual,175,2
homeros,individual,175,2
,,176,2
aeolic,group,176,2
poetry.comedy.old,group,176,2
aristophanes_com,individual,176,2
pherekrates,individual,176,2
,,177,2
,,178,2
poetry,group,178,2
antimachos,individual,178,2
,,179,2
homeros,individual,179,2
,,180,2
poetry,group,180,2
xenophon,individual,180,2
aristophanes_com,individual,180,2
rhianos,individual,180,2
,,181,2
,,182,2
,,183,2
archippos,individual,183,2
,,184,2
hesiodos,individual,184,2
attic,group,184,2
strattis,individual,184,2
,,185,2
klearchos,individual,185,2
,,186,2
kallias,individual,186,2
,,187,2
,,188,2
kratinos,individual,188,2
homeros,individual,188,2
,,189,2
hippokrates,individual,189,2
hipponax,individual,189,2
poetry.comedy,group,189,2
aristophanes_com,individual,189,2
,,190,2
undefined,group,190,2
,,191,2
poetry.comedy,group,191,2
undefined,group,191,2
,,192,2
undefined,group,192,2
,,193,2
archilochos,individual,193,2
xenophon,individual,193,2
xenophon,individual,193,2
hoi-nyn,group,193,2
poetry.comedy,group,193,2
platon_phil,individual,193,2
,,194,2
menandros,individual,194,2
platon_phil,individual,194,2
platon_phil,individual,194,2
xenophon,individual,195,2
,,195,2
platon_phil,individual,195,2
,,196,2
platon_com,individual,196,2
kritias,individual,196,2
aischylos,individual,196,2
aischines_rhet,individual,196,2
antiphon_soph,individual,196,2
,,197,2
poetry.comedy.middle,group,197,2
,,198,2
undefined,group,198,2
,,199,2
aristophanes_com,individual,199,2
platon_phil,individual,199,2
,,200,2
ameipsias,individual,200,2
platon_phil,individual,200,2
xenophon,individual,200,2
xenophon,individual,200,2
platon_phil,individual,200,2
demosthenes,individual,200,2
aristophanes_com,individual,200,2
hypereides,individual,200,2
herodotos,individual,200,2
,,201,2
undefined,group,201,2
,,202,2
undefined,group,202,2
herophilos,individual,202,2
,,203,2
,,204,2
undefined,group,204,2
,,205,2
,,206,2
homeros,individual,206,2
,,207,2
demosthenes,individual,207,2
palaioi,group,207,2
,,208,2
,,209,2
homeros,individual,209,2
,,210,2
,,211,2
undefined,group,211,2
undefined,group,211,2
platon_phil,individual,211,2
hippokrates,individual,211,2
,,212,2
aristophanes_com,individual,212,2
,,213,2
,,214,2
attic,group,214,2
platon_phil,individual,214,2
,,215,2
antiphon_rhet,individual,215,2
,,216,2
,,217,2
doric,group,217,2
xenophon,individual,217,2
,,218,2
,,219,2
,,220,2
platon_phil,individual,220,2
,,221,2
poetry,group,221,2
,,222,2
hippokrates,individual,222,2
,,223,2
empedokles,individual,223,2
antiphon_rhet,individual,223,2
,,224,2
poetry.tragedy,group,224,2
antiphon_rhet,individual,224,2
prose.medicine,group,224,2
,,225,2
,,226,2
pythagoras,individual,226,2
platon_phil,individual,226,2
prose.medicine,group,226,2
straton,individual,226,2
empedokles,individual,226,2
aristoteles,individual,226,2
prose.philosophy.stoa,group,226,2
,,227,2
,,228,2
antiphon_rhet,individual,228,2
aristophanes_com,individual,228,2
platon_phil,individual,228,2
,,229,2
isaios,individual,229,2
,,230,2
platon_phil,individual,230,2
demosthenes,individual,230,2
antiphon_rhet,individual,230,2
isokrates,individual,230,2
isaios,individual,230,2
,,231,2
aristophanes_com,individual,231,2
thoukydides,individual,231,2
isokrates,individual,231,2
platon_phil,individual,231,2
isaios,individual,231,2
philyllios,individual,231,2
,,232,2
attic,group,232,2
poetry.comedy.new,group,232,2
,,233,2
aristophanes_com,individual,233,2
eupolis,individual,233,2
herodotos,individual,233,2
,,234,2
demosthenes,individual,234,2
theopompos_com,individual,234,2
,,235,2
,,236,2
platon_phil,individual,236,2
